"","Size","Size_Contrast","Dark","Dark_Contrast","Number","idx"
"1",4,3,21,21,1,21595
"2",6,6,23,23,1,22005
"3",12,10,22,22,4,37684
"4",18,16,32,32,4,20259
"5",14,12,39,39,4,58985
"6",4,4,24,24,1,26105
"7",10,8,37,37,1,16268
"8",18,16,34,34,4,26436
"9",8,8,38,38,1,29515
"10",16,14,40,40,4,50412
"11",9,8,16,16,1,41734
"12",12,10,28,28,4,27
"13",20,19,40,40,4,31550
"14",12,12,55,55,1,24223
"15",6,6,21,21,1,44786
"16",19,18,46,46,4,24548
"17",18,18,31,31,4,25183
"18",14,14,37,37,4,35552
"19",7,6,26,26,1,25325
"20",6,5,28,28,1,54580
"21",16,15,34,34,1,22556
"22",18,18,47,47,4,29762
"23",19,18,70,70,4,33313
"24",20,20,26,26,4,59109
"25",4,3,23,23,1,26071
"26",12,10,31,31,1,14354
"27",4,4,27,27,1,4961
"28",8,7,35,35,1,39160
"29",12,12,51,51,4,26726
"30",12,10,32,32,4,41445
"31",16,16,27,27,4,40836
"32",20,20,35,35,4,10644
"33",16,15,42,42,4,33412
"34",16,14,68,68,4,24077
"35",5,4,28,28,1,9228
"36",14,13,38,38,4,2991
"37",6,5,21,21,1,26251
"38",7,7,25,25,1,28057
"39",18,17,45,45,4,12613
"40",13,11,34,34,1,34928
"41",14,12,35,35,4,16739
"42",4,4,25,25,1,1943
"43",12,11,54,54,4,28394
"44",20,20,40,40,4,14450
"45",18,16,60,60,4,41846
"46",6,4,35,35,1,55037
"47",16,16,26,26,4,20909
"48",5,4,11,11,1,14229
"49",13,12,32,32,1,37155
"50",6,5,33,33,1,34384
"51",12,12,32,32,1,35775
"52",6,4,37,37,1,25452
"53",15,13,41,41,4,58549
"54",12,12,25,25,1,2664
"55",10,10,32,32,4,17858
"56",4,4,20,20,1,311
"57",14,13,32,32,4,18181
"58",18,18,36,36,4,6259
"59",20,18,52,52,1,59298
"60",20,20,63,63,4,5065
"61",14,14,43,43,4,43935
"62",20,19,51,51,4,43637
"63",6,5,25,25,1,21965
"64",15,13,18,18,1,59995
"65",16,14,33,33,4,55324
"66",10,10,27,27,4,26873
"67",18,18,70,70,4,22564
"68",20,18,57,57,4,48686
"69",18,18,42,42,4,18718
"70",15,13,30,30,4,33847
"71",11,7,25,25,1,54174
"72",18,16,48,48,4,36244
"73",12,11,47,47,1,40424
"74",17,16,28,28,4,57060
"75",7,6,33,33,1,18541
"76",8,7,21,21,1,54224
"77",10,8,23,23,1,6710
"78",9,7,37,37,1,58208
"79",8,6,34,34,1,47698
"80",14,12,27,27,4,25101
"81",14,12,38,38,4,41343
"82",12,10,39,39,4,3485
"83",13,12,30,30,4,38822
"84",18,16,41,41,4,29748
"85",20,19,56,56,4,55565
"86",4,4,24,24,1,29397
"87",4,4,14,14,1,34779
"88",18,16,17,17,4,26297
"89",8,6,28,28,1,28239
"90",8,6,36,36,1,49327
"91",20,20,34,34,4,34736
"92",12,11,35,35,4,30244
"93",7,6,32,32,1,40098
"94",7,6,19,19,1,33109
"95",16,14,46,46,4,11010
"96",20,18,46,46,4,34466
"97",6,4,31,31,1,52655
"98",14,13,35,35,4,26068
"99",14,12,27,27,4,58662
"100",10,10,24,24,4,10909
"101",12,11,28,28,4,25740
"102",16,15,40,40,4,47319
"103",9,7,22,22,1,12311
"104",18,16,26,26,4,38263
"105",16,14,33,33,1,41248
"106",7,6,24,24,1,20871
"107",20,20,38,38,4,58280
"108",4,4,26,26,1,35371
"109",12,12,28,28,4,38042
"110",7,5,36,36,1,6117
"111",14,13,51,51,4,54673
"112",4,3,18,18,1,53663
"113",8,6,20,20,1,44039
"114",6,4,26,26,1,56735
"115",16,15,50,50,4,23479
"116",12,11,39,39,4,5039
"117",14,12,32,32,4,24881
"118",6,5,26,26,1,41361
"119",16,11,57,57,1,1260
"120",19,17,35,35,4,681
"121",20,18,29,29,4,31670
"122",13,12,41,41,4,14617
"123",12,12,46,46,4,1569
"124",14,13,38,38,1,19340
"125",16,14,53,53,4,40165
"126",16,15,34,34,1,9044
"127",12,12,37,37,4,18247
"128",16,15,37,37,4,54669
"129",20,20,83,83,4,6866
"130",15,14,45,45,4,44101
"131",18,16,32,32,4,10176
"132",14,14,32,32,4,12828
"133",14,12,34,34,1,17226
"134",14,13,26,26,4,14593
"135",6,4,16,16,1,47109
"136",6,6,20,20,1,52003
"137",10,10,33,33,1,35812
"138",12,12,35,35,1,8626
"139",12,11,22,22,1,54709
"140",6,4,34,34,1,8634
"141",4,4,11,11,1,37111
"142",18,17,42,42,4,40451
"143",19,18,53,53,4,32977
"144",6,5,31,31,1,14080
"145",4,2,16,16,1,41030
"146",15,14,37,37,4,11390
"147",13,12,53,53,4,56800
"148",18,16,33,33,4,36297
"149",20,19,68,68,4,37852
"150",16,15,48,48,4,33323
"151",6,6,39,39,1,41837
"152",8,6,30,30,1,59037
"153",16,14,30,30,4,58614
"154",16,15,34,34,4,33546
"155",16,15,56,56,4,18456
"156",17,16,28,28,4,7212
"157",10,9,36,36,1,21980
"158",16,15,50,50,4,45750
"159",18,16,42,42,4,46782
"160",4,4,20,20,1,1701
"161",16,14,47,47,4,48315
"162",6,4,25,25,1,27330
"163",5,5,44,44,1,59388
"164",16,14,24,24,4,37646
"165",10,10,20,20,1,40780
"166",18,18,40,40,4,44500
"167",8,6,20,20,1,18693
"168",15,13,32,32,4,56268
"169",6,4,27,27,1,30302
"170",20,20,44,44,4,28501
"171",6,6,30,30,1,34513
"172",14,12,42,42,4,42237
"173",20,20,49,49,4,10372
"174",14,12,57,57,4,51047
"175",14,14,30,30,1,24228
"176",6,5,25,25,1,33459
"177",11,10,35,35,1,6366
"178",18,18,41,41,4,29768
"179",10,9,24,24,1,47217
"180",17,16,35,35,4,33719
"181",5,4,19,19,1,30617
"182",8,8,30,30,1,26906
"183",18,18,35,35,4,39845
"184",8,7,25,25,4,46499
"185",16,14,56,56,4,20277
"186",4,4,23,23,1,35437
"187",12,12,36,36,4,30954
"188",4,4,24,24,1,4203
"189",12,10,29,29,1,53843
"190",18,15,31,31,1,10158
"191",6,3,23,23,1,17884
"192",12,11,28,28,1,20276
"193",14,12,25,25,4,43948
"194",14,13,38,38,4,34597
"195",16,16,36,36,4,10217
"196",16,15,56,56,4,49001
"197",18,17,52,52,4,19562
"198",12,10,31,31,4,48199
"199",9,8,35,35,1,9508
"200",8,6,21,21,1,43928
"201",6,5,29,29,1,49818
"202",5,4,16,16,1,56669
"203",6,4,14,14,1,11605
"204",10,9,24,24,1,1648
"205",20,20,43,43,4,12053
"206",13,12,25,25,1,3724
